Census_year,Block_ID,Property_ID,Base_property_ID,CLUE_small_area,Business_address,Trading_name,Industry_ANZSIC4_code,Industry_ANZSIC4_description,Longitude,Latitude,Location
2021,1110,620308,593737,Docklands,Shop G15 109 Studio Lane DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620308,593737,Docklands,Ground 6B Star Crescent DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620308,593737,Docklands,Shop G03 4 Star Crescent DOCKLANDS VIC 3008,Sporting House,4251,Clothing Retailing,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620308,593737,Docklands,Shop G14 111 Studio Lane DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620308,593737,Docklands,Shop G11 119 Studio Lane DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620308,593737,Docklands,Level 1 12 Star Crescent DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620308,593737,Docklands,Level 1 5-7 Wharf Street DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620309,593737,Docklands,Shop F08 Level 1 17 Star Crescent DOCKLANDS VIC 3008,Gapmaps Pty Ltd,6922,Surveying and Mapping Services,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620309,593737,Docklands,Level 1 19-21 Star Crescent DOCKLANDS VIC 3008,Chipmunks Playland And Cafe,9131,Amusement Parks and Centres Operation,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620309,593737,Docklands,Ground 5 Star Crescent DOCKLANDS VIC 3008,Star Ugg & Sheepskin,4252,Footwear Retailing,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620309,593737,Docklands,Ground 452-454 Docklands Drive DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620309,593737,Docklands,Level 1 5-7 Star Crescent DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620310,593737,Docklands,Ground 34 Wharf Street DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620310,593737,Docklands,Level 1 26 Wharf Street DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620310,593737,Docklands,Level 1 34 Wharf Street DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620310,593737,Docklands,Ground 36 Wharf Street DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620310,593737,Docklands,Shop G05 26 Wharf Street DOCKLANDS VIC 3008,Australian Cartoon Museum,8910,Museum Operation,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620310,593737,Docklands,Level 1 102 Studio Lane DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620310,593737,Docklands,Level 1 104-106 Studio Lane DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620310,593737,Docklands,Shop G08 32 Wharf Street DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620310,593737,Docklands,Level 1 32A Wharf Street DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop G01 122 Studio Lane DOCKLANDS VIC 3008,Sunglass Hut,8532,Optometry and Optical Dispensing,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop G05 Ground 28 Star Crescent DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop G06 Ground 18-34 Star Crescent DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop G21 116 Studio Lane DOCKLANDS VIC 3008,The Melbourne Ice Limited,9112,Sports and Physical Recreation Clubs and Sports Professionals,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop G01A & G02-G03 18 Star Crescent DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop F17 Level 1 23 Wharf Street DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop F04 Level 1 18-20 Star Crescent 19-35 Wharf Street DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop G07 30 Star Crescent DOCKLANDS VIC 3008,Fila Outlet,4241,Sport and Camping Equipment Retailing,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop F14 Level 1 29 Wharf Street DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop G04 Ground 24 Star Crescent DOCKLANDS VIC 3008,Kathmandu,4241,Sport and Camping Equipment Retailing,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop G11A Ground 7 The Arcade DOCKLANDS VIC 3008,Vacant,0,Vacant Space,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620311,593737,Docklands,Shop G08 32 Star Crescent DOCKLANDS VIC 3008,Bonds,4251,Clothing Retailing,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620312,593737,Docklands,Shop G03 6 Star Circus DOCKLANDS VIC 3008,KFC,4512,Takeaway Food Services,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
2021,1110,620312,593737,Docklands,Level 1 14 Star Circus DOCKLANDS VIC 3008,Dohtonbori,4511,Cafes and Restaurants,144.938,-37.81329,"-37.8132875163, 144.93799836630816"
