property_number,venue_name,venue_address,suburb_name,space_type,website,lat,lon,location,geolocation
609454,Alumbra,"Shed 9, Victoria Harbour, Docklands, 3008",Docklands,Nightclub,http://www.alumbra.com.au/,-37.81656882,144.943835,POINT (144.943834998348 -37.816568815),"-37.81656881500009, 144.94383499834845"
646930,Bar Nacional,"Tenancy 47, Ground, 727 Collins Street, Docklands, 3008",Docklands,Bar,http://www.barnacional.com.au/,-37.82046726,144.9498229,POINT (144.949822902931 -37.820467259122),"-37.82046725912159, 144.94982290293075"
681513,Bomba Tapas Bar and Rooftop,"Ground & Rooftop, 103 Lonsdale Street, Melbourne, 3000",Melbourne (CBD),Bar,https://bombabar.com.au/,-37.81038063,144.9692358,POINT (144.969235763373 -37.810380634625),"-37.81038063462455, 144.9692357633733"
642863,"Club 23, Crown Melbourne","Restaurant Crown Towers Hotel, Crown Casino, 8 Whiteman Street, Southbank, 3006",Southbank,Nightclub,http://www.level3atcrown.com.au/,-37.82243273,144.9601749,POINT (144.960174881083 -37.822432727203),"-37.82243272720292, 144.9601748810828"
627193,Aria Bar & Lounge,"Podium, 1 Southgate Avenue, Southbank, 3006",Southbank,Bar,http://www.sebeldocklands.com.au/en/meeting-rooms/aria-bar-and-events.html,-37.82047862,144.9658909,POINT (144.965890924585 -37.820478615158),"-37.82047861515797, 144.96589092458512"
515538,Paris Cat Jazz Club,"4-6 Goldie Place, Melbourne, 3000",Melbourne (CBD),Venue,http://pariscat.com.au/,-37.81355853,144.9607541,POINT (144.960754075817 -37.813558526666),"-37.813558526665716, 144.96075407581748"
567241,Clique Bar,"Level 1, 26 King Street, Melbourne, 3000",Melbourne (CBD),Nightclub,http://www.cliquebar.com.au/,-37.81961099,144.957393,POINT (144.95739295718 -37.819610990111),"-37.81961099011078, 144.95739295718033"
640957,Man Tong Kitchen,"Shop 46B, Ground, 8 Whiteman Street, Southbank, 3006",Southbank,Bar,http://www.mantongkitchen.com.au/,-37.82237743,144.9601366,POINT (144.96013664102 -37.822377433701),"-37.82237743370056, 144.96013664101957"
513494,Randy Dragon,"Unit 1, Basement, 313-315 Flinders Lane, Melbourne, 3000",Melbourne (CBD),Bar,http://www.randydragon.com.au/,-37.81745674,144.9637891,POINT (144.963789133958 -37.817456737067),"-37.817456737067324, 144.96378913395765"
105749,QV Melbourne,"278-300 Swanston Street, Melbourne, 3000",Melbourne (CBD),Bar,http://www.qv.com.au,-37.8110354,144.9646718,POINT (144.964671763565 -37.811035401688),"-37.81103540168751, 144.96467176356475"
101221,The Elephant and Wheelbarrow,"94-96 Bourke Street, Melbourne, 3000",Melbourne (CBD),Hotel,https://bourkest.elephantandwheelbarrow.com.au/,-37.81200304,144.9703259,POINT (144.970325870793 -37.812003038513),"-37.812003038513254, 144.97032587079298"
598592,RACV City Club,"501 Bourke Street, Melbourne, 3000",Melbourne (CBD),Hotel,https://www.racv.com.au/travel-leisure/racv-club/city-club.html,-37.81557208,144.9591017,POINT (144.959101700764 -37.815572078336),"-37.81557207833605, 144.9591017007643"
508983,Roxanne Bar,"Level 2-3, 2 Coverlid Place, Melbourne, 3000",Melbourne (CBD),Venue,https://www.facebook.com/roxannebarmelbourne/,-37.81229008,144.9685609,POINT (144.968560880516 -37.812290077618),"-37.812290077617654, 144.96856088051632"
540196,The Palms At Crown,"Shop 54A, Level 2, 8 Whiteman Street, Southbank, 3006",Southbank,Bar,https://www.crownmelbourne.com.au/events-conferences/function-venues/the-palms-at-crown,-37.82237606,144.9600572,POINT (144.960057153938 -37.822376056539),"-37.82237605653925, 144.96005715393778"
601617,Lion Hotel at Melbourne Central,"Shop 303, Level 3, 300 Lonsdale Street, Melbourne, 3000",Melbourne (CBD),Bar,http://www.acemelbourne.com.au/mclion/,-37.81049466,144.9626089,POINT (144.962608923036 -37.810494663239),"-37.81049466323917, 144.96260892303593"
644613,Urban Central Backpackers,"Pt Ground & Levels 1-5, 334-342 City Road, Southbank, 3006",Southbank,Venue,http://urbancentral.com.au/,-37.82795248,144.9575823,POINT (144.957582347518 -37.827952475955),"-37.82795247595504, 144.95758234751773"
602248,Workshop,"Level 1, 413-417 Elizabeth Street, Melbourne, 3000",Melbourne (CBD),Bar,http://www.workshopbar.com.au/,-37.80915406,144.9606401,POINT (144.960640079204 -37.809154064931),"-37.80915406493112, 144.9606400792035"
109416,Melbourne Town Hall,"90-130 Swanston Street, Melbourne, 3000",Melbourne (CBD),Performance space,http://www.melbourne.vic.gov.au/community/hubs-bookable-spaces/Pages/melbourne-town-hall-rooms-for-hire.aspx,-37.81491254,144.9664536,POINT (144.966453617043 -37.8149125438),"-37.814912543799636, 144.9664536170434"
104020,The Forum Theatre,"150-162 Flinders Street, Melbourne, 3000",Melbourne (CBD),Venue,https://forummelbourne.com.au/,-37.81672152,144.9694951,POINT (144.969495093855 -37.816721524225),"-37.81672152422505, 144.9694950938554"
544022,Polepole Bar,"Ground & Level 1, 267 Little Collins Street, Melbourne, 3000",Melbourne (CBD),Bar,http://www.polepolebar.com.au/,-37.81471253,144.9655624,POINT (144.965562439614 -37.814712534478),"-37.81471253447779, 144.96556243961416"
574265,GoGo Bar,"Basement, 125 Flinders Lane, Melbourne, 3000",Melbourne (CBD),Bar,https://www.chinchinrestaurant.com.au/melbourne/gogo-bar/,-37.81553872,144.9703604,POINT (144.970360362075 -37.815538724717),"-37.81553872471665, 144.97036036207516"
521316,New Guernica,"Level 2, 318-322 Little Collins Street, Melbourne, 3000",Melbourne (CBD),Nightclub,http://www.newguernica.com.au/,-37.81503811,144.9641086,POINT (144.9641086403 -37.815038108402),"-37.81503810840179, 144.96410864029963"
108202,Capitano,"421 Rathdowne Street, Carlton, 3053",Carlton,Hotel,https://www.thebeaufort.com.au/,-37.79645167,144.9705082,POINT (144.970508237456 -37.796451674887),"-37.79645167488737, 144.97050823745553"
626980,The Woolshed,"Shed 9, Victoria Harbour, Docklands, 3008",Docklands,Hotel,https://www.woolshed.melbourne/,-37.81657159,144.943994,POINT (144.943993958449 -37.816571590804),"-37.816571590803626, 144.9439939584494"
588906,Horse Bazaar,"Ground, 397 Little Lonsdale Street, Melbourne, 3000",Melbourne (CBD),Bar,http://www.horsebazaar.com.au/,-37.81181776,144.9601854,POINT (144.960185414344 -37.811817761782),"-37.81181776178239, 144.96018541434393"
